2023/10/31 23:46:04 Starting client Client 1...
2023/10/31 23:46:09 [Prev: 2, Time: 3] Server: <Client 1>: message a
2023/10/31 23:46:13 [Prev: 3, Time: 4] Server: Client 2 has joined the chat
2023/10/31 23:46:18 [Prev: 4, Time: 5] Server: <Client 1>: message b
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: 
