2023/10/31 23:46:13 Starting client Client 2...
2023/10/31 23:46:18 [Prev: 4, Time: 5] Server: <Client 1>: message b
2023/10/31 23:46:24 [Prev: 5, Time: 6] Server: Client 1 has left the chat
2023/10/31 23:46:35 [Prev: 6, Time: 7] Server: <Client 2>: message c
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
2023/10/31 23:46:38 [Prev: 7, Time: 8] Server: 
